GEOID,Turnout_Rate,NAME,Male_Pop,Female_Pop,Total_Ethnicity,White_Non_Hispanic,Black_African_American,Asian,Hispanic_Latino,Other_race,Total_Commuters,Drove_Alone_to_Work,Public_Transportation_Users,Worked_From_Home,Total_Education_Population,High_School_Graduate,Bachelors_Degree,Graduate_Professional_Degree,Median_Household_Income,Total_Employed,Total_Unemployed
24001000100,0.536737235,Census Tract 1; Allegany County; Maryland,1573,1544,29,7,0,0,0,0,1349,1162,27,0,2671,1025,187,0,56232,1356,91
24001000200,0.548417132,Census Tract 2; Allegany County; Maryland,2349,2269,106,28,0,0,0,0,1265,1174,0,0,3255,1053,100,33,66596,1273,24
24001000500,0.417591125,Census Tract 5; Allegany County; Maryland,965,950,81,9,0,0,0,0,679,529,22,0,1283,424,53,10,47781,715,61
24001000600,0.478534031,Census Tract 6; Allegany County; Maryland,1043,1036,8,1,0,0,0,0,1128,1100,0,0,2141,614,169,27,48607,1150,49
24001000700,0.416708105,Census Tract 7; Allegany County; Maryland,1020,1004,66,60,0,0,0,0,1220,1048,0,0,2045,693,111,13,36090,1239,147
24001000800,0.33161068,Census Tract 8; Allegany County; Maryland,781,770,46,11,0,0,0,0,858,797,0,0,1253,537,25,8,27130,864,107
24001001000,0.386043059,Census Tract 10; Allegany County; Maryland,725,703,22,15,0,0,0,0,533,425,13,0,1384,341,97,0,24777,533,111
24001001100,0.511008111,Census Tract 11; Allegany County; Maryland,592,583,33,12,12,0,0,0,479,422,0,0,960,261,123,20,43000,497,47
24001001200,0.532541777,Census Tract 12; Allegany County; Maryland,1282,1217,143,52,21,0,0,0,1490,1280,16,0,2144,346,271,77,100625,1486,38
24001001300,0.481092437,Census Tract 13; Allegany County; Maryland,3790,3625,174,12,0,0,0,0,1018,913,0,0,4335,986,23,11,56037,1024,61
24001001401,0.583089431,Census Tract 14.01; Allegany County; Maryland,1503,1479,68,15,0,0,0,0,1890,1665,0,0,2878,758,349,27,76406,1953,68
24001001402,0.533271719,Census Tract 14.02; Allegany County; Maryland,671,652,39,24,7,0,0,0,852,730,0,0,1179,265,151,16,68352,859,29
